NULL;NULL;NULL;3630,19;13570,66;532,884;11569,828;7421,869;96,047;2422,554
Pedagogia;S;F;3645,18;4706,331;767,818;800,669;711,622;78,328;271,201
Administração;S;F;201,47;533,306;533,306;533,306;245,731;5,639;80,467
Administração;S;M;240,6;240,6;48,12;48,12;0;0;0
NULL;NULL;NULL;600;2324,286;1159,435;1164,852;1348,17;20,316;415,8
Administração;S;F;288,72;288,72;48,12;48,12;0;0;0
NULL;NULL;NULL;629,58;878,123;13,111;565,148;0;0;248,543
Administração;S;F;1133,77;4194,58;12,99;2095,539;2308,448;36,728;715,634
Ciências Contábeis;C;F;652;1981,32;392,377;400,177;1003,046;19,182;307,092
NULL;NULL;NULL;562,11;731,585;7;701,325;0;0;169,475
Administração;NULL;F;1603,99;4048,395;28,44;782,236;1831,808;40,117;572,48
Direito;E;F;6804,84;12933,319;634,655;2269,374;4192,422;137,516;1798,542
NULL;NULL;NULL;169,27;760,298;760,298;760,298;457,978;5,928;127,122
NULL;NULL;NULL;437,5;1679,808;1679,808;1679,808;1098,424;15,321;328,563
NULL;NULL;NULL;3164,97;13931,787;498,446;1682,204;8192,141;86,688;2487,989
NULL;NULL;NULL;4995,93;21856,665;27,463;2403,961;12683,835;141,533;4035,368
Direito;E;F;377,5;377,5;75,5;75,5;0;0;0
Administração;C;F;1122,86;1646,718;219,989;459,291;365,163;25,325;143,371
Direito;S;F;189;189;31,5;31,5;0;0;0
Engenharia Civil;S;M;8193,9;12416,854;2029,776;2108,48;2846,363;187,657;1188,935
NULL;NULL;NULL;1627,36;2004,043;10,5;1293,608;0;0;376,683
Direito;S;M;4841,8;10089,84;1895,713;2442,473;4414,619;111,279;1522,142
Engenharia Civil;S;M;516,66;516,66;86,11;86,11;0;0;0
NULL;NULL;NULL;260;1152,043;1152,043;1152,043;687,677;9,105;195,26
Engenharia Civil;S;F;234,42;234,42;78,14;78,14;0;0;0
NULL;NULL;NULL;479,4;952,251;17,052;935,199;314,513;12,505;145,833
Engenharia Civil;S;M;10158,9;24384,47;11,834;2705,518;10152,943;276,503;3796,124
Direito;S;M;6289;7157,132;1644,373;1935,268;703,448;126,543;438,142
NULL;NULL;NULL;1177,93;3154,881;3154,881;3154,881;1473,518;32,968;470,465
Direito;S;F;4808,4;12878,465;12878,465;12878,465;6015,013;134,578;1920,475
Engenharia Civil;S;M;743,15;743,15;86,11;104,2;0;0;0
Engenharia Civil;NULL;M;104,2;104,2;104,2;104,2;0;0;0
Engenharia Civil;S;M;773,2;773,2;193,3;193,3;0;0;0
NULL;NULL;NULL;1980;10770,929;464,998;3056,85;7105,819;75,786;1809,324
NULL;NULL;NULL;958,84;2143,909;10,289;1510,061;961,011;0;224,058
Direito;S;M;4400,2;16513,07;3273,321;3331,907;9164,982;144,08;2803,808
NULL;NULL;NULL;990,55;2122,177;6,963;1475,171;710,665;0;420,962
Direito;S;F;3931,87;13207,869;139,954;2634,149;6945,38;120,05;2210,569
NULL;NULL;NULL;560,48;1186,207;467,622;718,584;454,894;0;170,832
Direito;S;M;2640,12;9864,142;3273,321;3302,614;5455,29;86,448;1682,285
Engenharia Civil;S;F;312,6;312,6;104,2;104,2;0;0;0
Engenharia Civil;NULL;M;398,71;398,71;86,11;104,2;0;0;0
Direito;S;M;231,05;846,71;167,819;170,895;460,869;7,566;147,225
Engenharia Civil;S;M;827,04;746,715;370,986;375,729;235,79;18,941;120,004
Engenharia Civil;I;F;72,02;72,02;36,01;36,01;0;0;0
Engenharia Civil;S;M;2240,06;902,748;52,1;405,255;366,525;8,748;124,844
Psicologia ;S;F;4991,8;7506,99;1854,838;1898,657;1676,558;114,322;724,31
Direito;S;F;5989,5;9042,143;1780,448;1836,226;2046,395;137,172;869,077
NULL;NULL;NULL;3523,9;14129,458;10,289;1488,691;8591,149;104,298;2510,11
Direito;C;M;1027;2212,999;2212,999;2212,999;810,343;27,503;348,153
Engenharia Civil;S;M;6414,08;16679,724;1629,032;2730,723;7539,298;179,224;2547,122
NULL;NULL;NULL;240;1036,811;1036,811;1036,811;608,167;8,405;180,24
NULL;NULL;NULL;2134,61;2836,887;64,937;2696,987;0;0;702,277
Engenharia Civil;S;F;13661,81;29501,313;11,834;2698,365;12011,942;342,697;4495,995
NULL;NULL;NULL;260;1152,043;1152,043;1152,043;687,677;9,105;195,26
Direito;S;F;274,08;274,08;91,36;91,36;0;0;0
Direito;C;F;453;453;75,5;75,5;0;0;0
NULL;NULL;NULL;4358,8;17035,268;11,834;2820,567;9340,829;109,752;3225,887
Psicologia ;E;F;3403,5;5852,468;1936,49;1965,313;1514,394;85,06;849,514
Engenharia Civil;S;F;1116,66;2084,896;86,11;395,103;711,804;16,793;239,64
NULL;NULL;NULL;35;35;35;35;0;0;0
NULL;NULL;NULL;693,37;1492,069;532,884;959,185;462,174;0;336,525
Administração;S;M;2265,84;8319,325;259,391;1610,428;4535,499;74,193;1443,793
Engenharia Civil;C;M;312,6;312,6;104,2;104,2;0;0;0
Direito;S;M;339,78;339,78;56,63;56,63;0;0;0
NULL;NULL;NULL;19,5;19,5;19,5;19,5;0;0;0
Ciências Contábeis;S;F;174,66;174,66;58,22;58,22;0;0;0
Pedagogia;NULL;F;103,14;103,14;17,19;17,19;0;0;0
NULL;NULL;NULL;1160,44;1500,513;11,63;1389,779;0;0;340,073
Direito;S;F;3679,47;6443,653;31,577;1615,898;3021,687;66,478;954,978
NULL;NULL;NULL;979,87;2597,696;10,915;1607,746;1226,466;0;391,36
Direito;NULL;F;3322;9722,355;2412,266;2449,319;4737,959;97,733;1564,662
NULL;NULL;NULL;401;1442,966;1442,966;1442,966;890,845;13,578;277,893
Psicologia ;S;F;2269;4601,87;2293,285;2308,586;1580,91;59,235;692,726
NULL;NULL;NULL;2396,48;8670,896;10,915;1788,351;4438,704;52,441;1783,271
Direito;S;F;2515,6;3221,101;257,494;1603,615;464,286;54,055;187,161
Engenharia Civil;S;F;516,66;516,66;86,11;86,11;0;0;0
Ciências Contábeis;S;F;6461,8;10193,627;1403,866;3083,048;3587,457;129,533;1514,838
Engenharia Civil;S;F;5855;1432,365;283,061;289,388;567,895;16,951;214,57
Ciências Contábeis;S;F;1164,42;2032,644;1013,586;1019,058;952,282;21,184;302,298
Direito;S;M;205,68;205,68;68,56;68,56;0;0;0
NULL;NULL;NULL;1010,52;5237,191;10,364;1764,943;3330,781;34,563;861,328
Direito;S;M;339,78;339,78;56,63;56,63;0;0;0
Engenharia Civil;NULL;M;868,95;260,7;260,7;260,7;0;0;0
Direito;S;M;2054;4440,206;2212,999;2227,207;1634,894;55,006;696,306
Administração;NULL;NULL;2083,5;3600,025;1185,449;1220,449;944,413;52,071;520,042
Administração;S;M;240,6;240,6;48,12;48,12;0;0;0
Direito;S;M;830,5;2412,266;2412,266;2412,266;1166,167;24,433;391,166
Ciências Contábeis;S;M;3208,6;2608,602;643,76;660,541;375,753;43,781;151,588
NULL;NULL;NULL;2240,51;6857,939;670,894;700,384;3294,582;65,916;1055,281
NULL;NULL;NULL;1944,12;7391,371;7391,371;7391,371;4144,8;63,658;1238,793
Engenharia Civil;S;F;312,6;312,6;104,2;104,2;0;0;0
MBA em Gestão Empresarial com Ênfase em Marketing e Pessoas;S;M;300;1085,733;1085,733;1085,733;584,749;9,823;191,16
Ciências Contábeis;S;F;778,56;2092,137;516,861;527,937;980,83;21,79;310,957
